prefName,year,population
三重県,2020,1770254
京都府,2020,2578087
佐賀県,2020,811442
兵庫県,2020,5465002
北海道,2020,5224614
千葉県,2020,6284480
和歌山県,2020,922584
埼玉県,2020,7344765
大分県,2020,1123852
大阪府,2020,8837685
奈良県,2020,1324473
宮城県,2020,2301996
宮崎県,2020,1069576
富山県,2020,1034814
山口県,2020,1342059
山形県,2020,1068027
山梨県,2020,809974
岐阜県,2020,1978742
岡山県,2020,1888432
岩手県,2020,1210534
島根県,2020,671126
広島県,2020,2799702
徳島県,2020,719559
愛媛県,2020,1334841
愛知県,2020,7542415
新潟県,2020,2201272
東京都,2020,14047594
栃木県,2020,1933146
沖縄県,2020,1467480
滋賀県,2020,1413610
熊本県,2020,1738301
石川県,2020,1132526
神奈川県,2020,9237337
福井県,2020,766863
福岡県,2020,5135214
福島県,2020,1833152
秋田県,2020,959502
群馬県,2020,1939110
茨城県,2020,2867009
長崎県,2020,1312317
長野県,2020,2048011
青森県,2020,1237984
静岡県,2020,3633202
香川県,2020,950244
高知県,2020,691527
鳥取県,2020,553407
鹿児島県,2020,1588256
